idx,seconds,feat__type,hog__block_norm,hog__cells_per_block,hog__orientations,hog__pixels_per_cell,pca__n_components,svm__C,mean_accuracy,fold_scores,fold_mean,fold_std,sift__contrastThreshold,sift__edgeThreshold,sift__n_features,sift__sigma
45,173.68303513526917,hog,L2-Hys,"(2, 2)",9.0,"(16, 16)",256,0.25,0.7746765692381409,"[0.7738380450407283, 0.7755150934355535]",0.7746765692381409,0.0008385241974125934,,,,
46,171.56092524528503,hog,L2-Hys,"(2, 2)",9.0,"(16, 16)",256,1.0,0.7747963584091998,"[0.7740776233828461, 0.7755150934355535]",0.7747963584091998,0.0007187350263536674,,,,
47,172.41866993904114,hog,L2-Hys,"(2, 2)",9.0,"(16, 16)",256,4.0,0.7747963584091998,"[0.7740776233828461, 0.7755150934355535]",0.7747963584091998,0.0007187350263536674,,,,
48,226.2012541294098,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",128,0.002,0.7574269286056541,"[0.7564686152371826, 0.7583852419741255]",0.7574269286056541,0.000958313368471464,,,,
49,345.3469729423523,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",128,0.25,0.758325347388596,"[0.7573071394345952, 0.759343555342597]",0.758325347388596,0.001018207954000927,,,,
50,342.06208205223083,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",128,1.0,0.7300551030186871,"[0.7454480114997605, 0.7146621945376138]",0.7300551030186871,0.01539290848107333,,,,
51,362.067312002182,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",128,4.0,0.6720771442261619,"[0.6739338763775755, 0.6702204120747485]",0.6720771442261619,0.0018567321514135204,,,,
52,222.74016308784485,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",256,0.002,0.7616195495927168,"[0.7591039770004792, 0.7641351221849545]",0.7616195495927168,0.0025155725922376693,,,,
53,407.4824411869049,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",256,0.25,0.7618591279348347,"[0.761379971250599, 0.7623382846190704]",0.7618591279348347,0.00047915668423570423,,,,
54,418.0775990486145,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",256,1.0,0.7498203162434116,"[0.7543124101581217, 0.7453282223287014]",0.7498203162434116,0.004492093914710116,,,,
55,428.79196190834045,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",256,4.0,0.7101102060373743,"[0.7151413512218495, 0.705079060852899]",0.7101102060373743,0.005031145184475283,,,,
56,177.03040099143982,hog,L2-Hys,"(2, 2)",12.0,"(8, 16)",128,0.002,0.7612601820795399,"[0.7606612362242453, 0.7618591279348347]",0.7612601820795399,0.0005989458552946858,,,,
57,177.54666018486023,hog,L2-Hys,"(2, 2)",12.0,"(8, 16)",128,0.25,0.763057019645424,"[0.763176808816483, 0.7629372304743651]",0.763057019645424,0.00011978917105892606,,,,
58,178.46907997131348,hog,L2-Hys,"(2, 2)",12.0,"(8, 16)",128,1.0,0.763057019645424,"[0.763176808816483, 0.7629372304743651]",0.763057019645424,0.00011978917105892606,,,,
59,178.17458605766296,hog,L2-Hys,"(2, 2)",12.0,"(8, 16)",128,4.0,0.7631169142309535,"[0.763176808816483, 0.763057019645424]",0.7631169142309535,5.989458552946303e-05,,,,
60,180.14417719841003,hog,L2-Hys,"(2, 2)",12.0,"(8, 16)",256,0.002,0.7656324868231912,"[0.7680881648298994, 0.763176808816483]",0.7656324868231912,0.0024556780067082062,,,,
61,181.89160227775574,hog,L2-Hys,"(2, 2)",12.0,"(8, 16)",256,0.25,0.7669501677048395,"[0.7685673215141351, 0.7653330138955439]",0.7669501677048395,0.0016171538092956128,,,,
62,181.73150324821472,hog,L2-Hys,"(2, 2)",12.0,"(8, 16)",256,1.0,0.7669501677048395,"[0.768806899856253, 0.765093435553426]",0.7669501677048395,0.001856732151413465,,,,
63,182.0764820575714,hog,L2-Hys,"(2, 2)",12.0,"(8, 16)",256,4.0,0.7669501677048395,"[0.768806899856253, 0.765093435553426]",0.7669501677048395,0.001856732151413465,,,,
64,165.11069202423096,hog,L2-Hys,"(2, 2)",12.0,"(16, 16)",128,0.002,0.7670699568758984,"[0.764973646382367, 0.7691662673694298]",0.7670699568758984,0.002096310493531428,,,,
65,164.93821096420288,hog,L2-Hys,"(2, 2)",12.0,"(16, 16)",128,0.25,0.7695855294681361,"[0.7679683756588405, 0.7712026832774317]",0.7695855294681361,0.0016171538092956128,,,,
66,164.57857060432434,hog,L2-Hys,"(2, 2)",12.0,"(16, 16)",128,1.0,0.7696454240536655,"[0.7679683756588405, 0.7713224724484906]",0.7696454240536655,0.0016770483948250758,,,,
67,164.49252676963806,hog,L2-Hys,"(2, 2)",12.0,"(16, 16)",128,4.0,0.7696454240536655,"[0.7679683756588405, 0.7713224724484906]",0.7696454240536655,0.0016770483948250758,,,,
68,166.29465985298157,hog,L2-Hys,"(2, 2)",12.0,"(16, 16)",256,0.002,0.7747364638236703,"[0.7734786775275515, 0.7759942501197892]",0.7747364638236703,0.0012577862961188346,,,,
69,166.5297088623047,hog,L2-Hys,"(2, 2)",12.0,"(16, 16)",256,0.25,0.7765333013895543,"[0.7750359367513177, 0.7780306660277911]",0.7765333013895543,0.0014973646382367423,,,,
70,166.9912440776825,hog,L2-Hys,"(2, 2)",12.0,"(16, 16)",256,1.0,0.7765333013895543,"[0.7750359367513177, 0.7780306660277911]",0.7765333013895543,0.0014973646382367423,,,,
71,166.64559721946716,hog,L2-Hys,"(2, 2)",12.0,"(16, 16)",256,4.0,0.7765333013895543,"[0.7750359367513177, 0.7780306660277911]",0.7765333013895543,0.0014973646382367423,,,,
72,208.4283938407898,hog,L2-Hys,"(3, 3)",6.0,"(8, 8)",128,0.002,0.7556899856252994,"[0.7550311451844753, 0.7563488260661236]",0.7556899856252994,0.0006588404408241488,,,,
73,301.8914749622345,hog,L2-Hys,"(3, 3)",6.0,"(8, 8)",128,0.25,0.7539530426449449,"[0.7552707235265932, 0.7526353617632966]",0.7539530426449449,0.0013176808816482977,,,,
74,306.79116106033325,hog,L2-Hys,"(3, 3)",6.0,"(8, 8)",128,1.0,0.7284379492093915,"[0.7277192141830379, 0.7291566842357451]",0.7284379492093915,0.0007187350263536119,,,,
75,307.4036810398102,hog,L2-Hys,"(3, 3)",6.0,"(8, 8)",128,4.0,0.6855534259702922,"[0.6850742692860565, 0.686032582654528]",0.6855534259702922,0.00047915668423575974,,,,
76,212.49378991127014,hog,L2-Hys,"(3, 3)",6.0,"(8, 8)",256,0.002,0.7597628174413034,"[0.7605414470531864, 0.7589841878294202]",0.7597628174413034,0.0007786296118830749,,,,
77,399.50681495666504,hog,L2-Hys,"(3, 3)",6.0,"(8, 8)",256,0.25,0.7606013416387158,"[0.7606612362242453, 0.7605414470531864]",0.7606013416387158,5.989458552946303e-05,,,,
78,407.11646699905396,hog,L2-Hys,"(3, 3)",6.0,"(8, 8)",256,1.0,0.7370028749401054,"[0.731073310972688, 0.7429324389075228]",0.7370028749401054,0.005929563967417395,,,,
79,412.1325488090515,hog,L2-Hys,"(3, 3)",6.0,"(8, 8)",256,4.0,0.693459511260182,"[0.6968136080498323, 0.6901054144705319]",0.693459511260182,0.003354096789650207,,,,
80,169.91550612449646,hog,L2-Hys,"(3, 3)",6.0,"(8, 16)",128,0.002,0.7616794441782463,"[0.7617393387637758, 0.7616195495927168]",0.7616794441782463,5.989458552946303e-05,,,,
81,168.7256498336792,hog,L2-Hys,"(3, 3)",6.0,"(8, 16)",128,0.25,0.7637158600862481,"[0.7638955438428366, 0.7635361763296598]",0.7637158600862481,0.0001796837565884446,,,,
82,169.20337009429932,hog,L2-Hys,"(3, 3)",6.0,"(8, 16)",128,1.0,0.7637158600862481,"[0.7638955438428366, 0.7635361763296598]",0.7637158600862481,0.0001796837565884446,,,,
83,170.8874659538269,hog,L2-Hys,"(3, 3)",6.0,"(8, 16)",128,4.0,0.7637158600862481,"[0.7638955438428366, 0.7635361763296598]",0.7637158600862481,0.0001796837565884446,,,,
84,174.09893107414246,hog,L2-Hys,"(3, 3)",6.0,"(8, 16)",256,0.002,0.7653330138955439,"[0.7635361763296598, 0.7671298514614279]",0.7653330138955439,0.0017968375658840574,,,,
85,176.71368312835693,hog,L2-Hys,"(3, 3)",6.0,"(8, 16)",256,0.25,0.7657522759942501,"[0.7656923814087206, 0.7658121705797796]",0.7657522759942501,5.989458552946303e-05,,,,
